Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0
Algeria,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,12
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,13
Argentina,,,,,,,,,,,,,6,,4,,,0,8,,0,,11,,,,1,,,8,1,27,3,1,,,,4,1,,6,0,,13,5,5,,,,,2,,2,,,,2,,,,,1,,,,,,,,,,,112
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,18
Australia,,,36,,,125,,,,,,2,4,,,,,,,26,17,36,6,72,92,131,113,62,21,22,15,15,24,31,62,10,57,89,18,18,168,90,,30,36,36,16,20,4,,,43,47,44,2,49,23,52,51,80,115,143,45,54,97,87,134,98,38,104,413,173,3395
Austria,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,,,37,126,54,70,60,56,58,248,40,30,12,12,30,20,20,10,17,,18,1,29,23,24,17,83,3,3,4,63,101,16,46,54,56,25,30,16,10,17,22,7,3,9,16,1598
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,7,129,398,63,452,293,49,63,57,19,53,43,6,224,41,159,96,97,269,101,142,152,50,79,159,59,98,3365
Belgium,,,,,,,29,,,,3,0,2,0,0,,12,,,5,,0,,,,,,,2,3,1,19,41,89,115,3,19,,18,36,1,1,,,33,158,57,93,46,45,26,37,35,15,47,159,59,19,217,243,9,116,22,55,10,12,7,17,21,57,27,48,2088
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,14,,3,,,,,,,,,21
Brazil,,,,,,,,,,,2,12,,,,,,,,18,,0,,,32,58,103,144,180,71,156,64,117,196,269,206,138,215,204,53,106,127,98,40,54,38,27,27,18,,,,19,,46,1,44,53,92,43,143,31,33,31,31,52,122,37,100,10,162,88,3912
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,12,,,,,,36
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,106,,,5,6,42,16,28,55,1,21,6,39,167,2,10,37,44,19,86,5,9,4,16,4,2,13,21,14,70,61,31,14,10,3,3,971
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,2
Canada,38,55,268,76,210,190,294,336,544,119,67,300,188,213,253,111,92,58,193,163,194,291,324,125,119,129,309,160,187,186,153,124,253,112,96,94,251,265,142,43,92,110,140,145,165,259,155,93,38,77,71,121,175,278,277,235,235,332,236,183,237,317,266,183,189,337,110,70,115,223,109,119,13015
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,1,,,3,3,4,4,,3,8,,,,29,,2,1,1,,1,,,,,,100,,,,,,20,,,,0,,,,181
China,,,,,3,,39,30,463,361,285,35,47,12,68,387,619,412,730,657,893,1293,1238,662,511,668,586,230,617,560,949,656,1504,1757,1929,1290,1862,2605,1412,1041,941,1312,673,1407,1076,1008,766,427,350,329,310,513,526,701,410,284,663,508,607,1136,1475,1266,1517,2056,1302,1798,2438,1601,1306,1504,775,1085,58480
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0,,,,,10,,10,4,,30
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,3
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,5
Cuba,,,,,,,,2,6,,,,,,,,,,,,,,,,,1,,,12,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,36
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,316,143,123,24,20,57,81,88,59,64,1,69,44,32,33,23,4,10,8,40,26,150,150,88,89,31,30,1,2004
Czechoslovakia,17,15,15,9,188,1331,1871,2216,1530,940,661,200,173,137,267,325,427,449,506,667,435,420,648,667,874,712,802,817,846,817,796,937,929,1049,1093,1029,1231,1289,1347,1053,624,416,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30985
Denmark,,,,,,,,,,,20,,,,60,12,,131,28,3,,,,,,23,,,,,18,29,64,115,,,,117,36,,72,8,,183,272,16,,,1,6,20,1,10,5,,,9,6,17,14,8,28,33,11,21,25,25,22,31,4,,27,1527
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4
DR Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,23
East Germany (GDR),,,,,,,,,,,17,25,17,29,39,26,,,,,,,,,11,,12,25,15,35,34,43,3,,,,39,116,116,149,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,,,8
Egypt,,,,,,,9,22,4,4,,0,7,8,1,,13,3,26,15,39,,,,,16,,67,78,13,29,77,81,71,37,5,19,61,65,63,20,,13,22,15,9,5,5,,,,,,,,,,,,,,,,,7,21,,,,2,,,954
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,0,,,,,,,,,,,,,,,,2
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,,,,8
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,51,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,103
European Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Finland,,,,,25,,,,,75,75,1,1,,,1,62,33,33,33,32,39,30,,63,63,,,63,63,,,15,,,,,,1,,,22,11,17,26,26,9,10,34,28,12,33,34,40,34,42,121,61,98,64,70,65,98,70,98,27,51,31,45,27,12,14,2034
FMLN (El Salvador)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
France,8,67,43,273,279,433,940,661,789,799,942,970,974,1235,1439,1219,1683,1555,1496,1491,1670,2241,2540,2845,2103,2203,2010,2681,3263,2972,3810,3715,3769,3440,2992,4041,3040,1793,1994,2302,1836,1225,1265,990,903,1026,1939,3291,3172,1818,1077,1416,1426,1404,2308,1811,1669,2375,1984,1914,874,2223,1298,1769,1754,2214,2075,2343,1996,3713,2484,3954,134262
Gabon,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,69,,69,,16,,,,,,,,,,,,6,7,,,,,213
Germany,,,,38,29,24,24,44,25,93,156,12,146,133,438,331,714,776,574,866,1561,1364,1377,227,1208,1446,1662,1893,1671,1466,1602,1902,1546,2270,2862,1344,1385,928,1402,1298,1863,2407,1498,1544,2896,1517,1957,956,1825,1884,1612,900,915,1669,1114,2064,2717,3281,2372,2466,2671,1314,757,796,1797,1769,2509,1948,1073,1000,1217,914,90060
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,25
Greece,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,18,,19,31,9,3,2,2,,6,22,13,23,,,,,,,,,,,30,,,,,210
Guatemala,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Hungary,,,,,,,,5,,,,,,,,,18,18,37,28,,,8,44,8,8,,,,,4,30,4,4,,,,,,,,,,21,,6,,24,,,,,34,,,82,,9,,,,,,41,,,,,,,,,429
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
India,,,,,,,,,,1,,,,,,,,,1,,,7,2,21,24,31,,,27,22,,,2,,,,,0,1,0,4,0,3,9,2,2,0,0,0,0,21,2,0,4,28,19,33,23,15,27,5,3,,15,36,42,46,56,44,18,151,33,780
Indonesia,,,,,,,,,,,,,,7,,,,,,,12,,,,,,,,9,,4,,,,,8,4,,,,,,,18,18,26,,9,,53,,18,53,,26,9,9,,1,,,4,,,,,86,95,15,9,,17,507
Iran,,,,,,,,,,,,,3,,,,,28,,,23,6,106,6,129,81,,,,,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,3,9,1,2,75,,43,45,45,83,21,12,47,15,5,20,,,,0,818
Iraq,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,28,,,,,,,,168,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,16,32,31,28,28,26,1,26,27,14,10,,,,,,13,273
Israel,,,,,8,30,,4,,23,,,,,5,10,14,13,23,28,9,21,31,12,45,109,54,202,211,187,267,215,254,416,281,207,350,142,75,209,90,151,324,382,296,166,282,246,230,166,402,471,575,406,606,509,406,552,375,746,640,545,458,419,396,789,1463,1268,704,349,400,606,18873
Italy,129,106,24,1,11,140,257,275,234,8,104,245,261,240,384,295,243,149,192,325,280,395,296,330,421,512,523,502,680,1308,1167,1708,1677,1171,1256,909,226,618,387,335,206,351,246,340,208,297,291,454,425,503,205,269,479,365,262,830,544,722,434,509,538,945,759,873,672,676,618,774,496,351,847,1717,35535
Japan,,,,,2,110,38,112,3,41,1,61,100,8,14,,5,,,31,,15,8,34,53,,,,9,11,167,,,17,17,44,92,,,15,30,54,101,122,130,126,165,25,,,,,,,,,,40,,,,,,,,,,2,3,,,,1807
Jordan,,,,,,,,,,2,,,,,,,,,,,,36,,22,23,50,,18,,,,,,76,,2,7,,7,64,,,,,65,,,6,,,,,,,42,20,,13,13,28,117,,21,33,114,16,17,80,1,101,13,15,1021
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,3,6,183,19,12,,,5,,6,,,,,,,,,,,,,,,,261
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Kuwait,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,27,,,,4,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,128
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,92,,,18,18,14,,,,,,,4,5,5,,,,,214
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Lebanon,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,50
Libya,,,,,,,,,,,,,,,,,,,,,,,0,0,,26,4,,8,395,95,107,168,14,54,32,10,14,64,7,36,,,,3,,,3,10,,,,21,16,113,113,18,9,17,32,27,0,,,,,,,,,,,1414
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,1
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,60,,,2,65
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Malaysia,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,6,,,,,3,,,,,,,,0,,,,11,,,,,,,,,,0,,,,15,15,,,,,,,,57
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,5,,,,,,,15
Mexico,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,36,,,217,,,6,42,60,13,,18,3,19,29,20,,11,,,,,,,,,,,487
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,109,,,18,,,,,,,0,,,,,198
Morocco,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Netherlands,199,63,20,7,72,255,9,8,51,43,36,108,65,45,93,99,79,95,350,111,5,161,133,205,83,147,293,446,234,244,619,804,664,465,366,184,358,505,763,558,416,455,365,455,627,473,499,614,624,359,284,203,233,331,204,505,1146,1212,446,495,370,546,886,388,645,475,485,1050,462,253,478,299,25327
New Zealand,,,,,,,,,,,,,,,,,,1,1,0,,,0,2,5,3,,,,,,1,2,,10,7,0,,,,,34,4,,3,,,,,1,1,,1,,1,0,,,,,,,75,,,1,6,,9,,,,166
Nicaragua,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,72,17,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,101
Niger,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,8,12,,,,20,29,5,148,250,88,57,65,212,189,66,4,113,131,137,24,41,47,47,81,55,58,73,162,134,47,20,20,20,20,26,5,,,,1,,,,,,,,2409
North Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Norway,1,30,,8,,,,,,8,38,,25,55,67,65,80,140,65,53,,4,31,10,,8,8,8,93,161,158,278,68,35,,42,29,54,34,127,85,170,82,51,64,21,4,19,3,5,3,42,92,101,66,6,17,68,118,151,159,151,170,173,163,217,129,146,59,31,72,58,4477
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,7,,,,,19
Pakistan,,,,,,,,,,,,,,,,,,6,,,,3,,,,,,,,,15,30,30,,,,,,,1,82,3,,,2,,,,,,3,,9,8,9,24,4,,1,,,,,,,,1,3,2,1,,53,289
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,14,,,5,,,,,,,,,,,,,,,,,,70
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,5
Poland,,,,,,,,,,,5,5,12,111,237,234,319,309,288,323,268,274,272,158,232,299,407,382,317,229,207,346,211,115,90,130,265,222,232,20,105,55,56,,131,175,46,21,1,64,47,81,56,81,47,18,282,163,73,75,28,8,27,142,24,2,5,10,24,9,0,3,8380
Portugal,,,,,,,,,,,,,,,,,,2,,,,3,,5,11,105,21,,4,4,2,,,1,,,1,1,,71,,,,1,,,,,,,,,,,,,,,99,46,,0,0,,18,7,172,56,3,3,46,11,693
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,9,,,,,,,2,,,,,0,,,,,,,3,11,,29,93
Romania,,,,,,,,,,,,,,,,,,,,,,6,9,9,1,,,,27,44,48,30,91,101,173,99,28,35,52,25,7,5,14,16,29,9,4,11,2,19,3,,,24,,3,8,32,,2,1,0,,216,,,,,,,,,1180
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605,3439,1475,3812,3550,3345,2032,4256,4486,5277,5737,5141,6253,5140,5126,5500,6175,5052,6187,8679,8177,7926,5495,5942,6836,6234,7097,5531,3686,2744,152936
Saudi Arabia,,,,,,0,,,,,,,,,,,,4,3,,,,2,,,,0,13,,,,33,,,3,4,,,,,,,,12,,,1,,,,,,,,,,18,,,,1,62,,,,3,5,,,,,,165
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,,,,16,,,,,5,5,45,1,31,4,11,11,10,35,29,3,27,26,34,7,327
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Singapore,,,,,,,,,,,,,,,,,,,,,,2,,,,17,,,30,72,,15,,25,88,,,81,25,87,44,3,3,11,30,,0,46,23,11,11,,4,,65,,,,,32,26,14,76,2,4,49,48,,,,,,942
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,38,97,59,55,10,125,37,53,32,,46,,7,22,8,,,,4,1,8,3,18,22,12,2,3,,836
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0
South Africa,,,,,,,,,,8,27,33,,,,,,4,,14,2,4,12,1,2,18,16,0,,,39,39,1,,,25,25,28,25,0,,54,75,54,11,17,31,7,22,28,20,37,22,47,72,35,192,137,141,103,236,72,179,103,61,64,78,87,85,96,106,83,2676
South Korea,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,105,105,130,65,,126,28,73,,51,48,72,118,,60,7,28,24,21,32,,10,228,,98,73,108,158,280,109,224,198,350,224,371,220,94,477,742,1056,694,778,566,8289
South Vietnam,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
South Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
Soviet Union,3977,3602,5880,8523,8624,5752,6376,6682,8047,7877,6329,6220,7641,7026,8908,8666,10312,11697,11196,9851,9782,11163,13288,15504,15244,11300,9574,15145,17336,16699,17904,16896,16233,14726,14091,14449,14817,13466,12412,11819,10063,5656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450754
Spain,,,,,,,,,,,1,5,6,6,7,21,21,7,7,6,70,140,4,4,84,267,46,25,38,18,10,130,251,352,242,85,183,153,142,176,115,104,69,103,248,87,111,632,171,45,47,8,18,96,52,109,871,601,601,950,262,938,251,439,953,966,471,817,704,303,962,612,15220
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8
Sudan,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,16
Sweden,27,46,64,165,21,105,96,111,280,15,38,45,44,13,22,32,56,55,60,36,251,530,123,15,75,123,70,54,55,263,158,130,125,117,224,214,322,233,515,403,231,156,149,103,111,196,347,102,336,386,359,895,163,515,294,531,388,333,455,409,660,696,477,386,339,179,265,80,155,215,286,332,15860
Switzerland,,,,,,,,,,50,442,500,530,337,379,484,367,261,91,104,18,42,34,54,89,395,480,260,196,454,531,552,409,331,528,346,345,311,370,318,467,496,451,234,176,146,196,125,214,283,188,222,178,199,272,267,311,318,473,242,264,340,242,194,343,479,215,173,240,216,182,147,18102
Syria,,,,,,,,,,,,,,,,,,,,,17,,,,2,2,,0,,,,,178,46,1,29,31,,15,,,,40,40,,,0,0,,,,,,,,,3,,,20,20,,,,,,,,,,,,443
Taiwan,,,,,,,,,,,,,,,,,,12,,,,,154,,,,,,,1,,,,,,,,,,42,6,,,,,,4,5,,,,6,0,,,,,,,16,,,2,,,4,2,2,,2,2,3,265
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,93,,,,,,,,,,2,2,,1,,3,116
Turkey,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,3,3,0,3,43,19,5,26,42,28,23,82,66,112,65,72,86,143,156,168,252,237,169,231,239,233,380,2922
UAE,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,14,,,22,1,,,2,,,,,28,6,32,,,,,,,3,11,17,3,,34,39,3,69,106,84,142,95,99,114,128,188,48,1293
Uganda,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,82,236,167,236,558,708,732,270,512,310,308,200,293,533,636,396,438,507,558,1472,670,633,306,458,376,259,162,116,86,12383
United Kingdom,2282,3468,3254,4583,4452,4799,6022,5041,3934,3467,2221,1244,1117,1297,1407,1471,1369,1967,1617,1761,887,2205,2475,2762,2353,2441,2510,2181,2208,1512,1713,2450,2589,2578,2564,2134,1984,3597,2523,3519,1860,1540,1176,1436,1547,1479,1661,2384,1413,1368,1630,1387,1100,755,1217,1062,997,984,987,1080,1157,1055,929,1608,1651,1179,1394,1173,704,957,556,601,143986
United Nations**,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
United States,1391,4049,6928,9810,6129,7191,8573,8599,9600,7438,6181,6295,6132,9368,12331,11311,8478,7266,8396,11832,8972,11777,10898,12015,12829,15717,15651,14421,14001,9789,10741,13610,14008,13940,11889,10804,11635,12206,11869,11319,10609,12509,14079,13808,11500,11189,10851,14513,15715,11545,7572,5590,4893,5662,6846,6787,7545,7864,6804,6888,8074,8943,9053,7504,9602,9932,9864,11909,9824,10923,9233,10613,713634
Unknown supplier(s),23,12,,,,2,17,17,17,17,17,19,5,1,1,14,1,12,,0,,3,12,4,7,15,7,1,12,31,30,42,21,9,2,7,42,2,8,6,10,9,3,38,53,1,75,10,3,2,11,17,16,10,13,49,9,0,35,9,30,8,14,10,26,12,5,6,4,11,3,14,950
Uruguay,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,7
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,126,4,,,,209,209,209,,,,34,68,,,,,,1111
Venezuela,,,,,,,,,,,,,,,,,,,,17,,,,,,13,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,,,,,,,,80
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10,,,,36
Yugoslavia,,,,,,,17,,71,,6,,,,23,23,,,,21,3,21,,35,,14,65,71,45,25,102,102,22,47,71,94,8,2,16,18,80,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Zimbabwe,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
